City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
281,as-suwayda,32.709,36.5695,16.69,87,13,3.63,SY,1688772528
282,bubaque,11.2833,-15.8333,26.34,78,99,2.86,GW,1688772646
283,rondonopolis,-16.4708,-54.6356,23.07,35,4,1.33,BR,1688772647
284,gaspe,48.8334,-64.4819,19.12,94,75,1.03,CA,1688772647
285,ustka,54.5805,16.8619,11.47,66,74,1.67,PL,1688772648
286,esmeraldas,-19.7625,-44.3139,18.58,48,16,1.03,BR,1688772648
287,cuautitlan izcalli,19.6469,-99.2467,23.81,76,93,1.78,MX,1688772649
288,bumba,2.1833,22.4667,21.81,90,61,1.44,CD,1688772650
289,antofagasta,-23.65,-70.4,16.6,82,65,2.54,CL,1688772650
290,caorle,45.5966,12.8758,21.98,75,67,2.84,IT,1688772650
291,gaillac,43.9016,1.8969,19.75,88,83,2.3,FR,1688772650
292,bayganin,48.6947,55.8742,27.24,37,24,4.24,KZ,1688772651
293,fortuna,40.5982,-124.1573,17.18,77,100,5.14,US,1688772651
294,beykonak,36.3257,30.303,28.08,65,43,1.34,TR,1688772651
295,kristiansund,63.1115,7.732,12.36,87,65,1.03,NO,1688772652
296,hasaki,35.7333,140.8333,28.22,86,100,8.98,JP,1688772359
297,tara,56.8944,74.371,15.63,92,73,3.17,RU,1688772652
298,ampara,7.2833,81.6667,24.79,85,60,1.11,LK,1688772652
299,antalaha,-14.9003,50.2788,23.8,59,95,5.79,MG,1688772653
300,castillos,-34.1667,-53.8333,10.19,65,87,3.64,UY,1688772653
301,prelouc,50.0398,15.5603,18.28,61,0,3.09,CZ,1688772653
302,baiti,13.745,-14.7482,28.41,69,99,4.58,SN,1688772654
303,ulladulla,-35.35,150.4667,15.3,43,5,6.83,AU,1688772654
304,el salto,20.3333,-104.5,22.53,79,43,1.82,MX,1688772654
305,kotel'nikovo,47.6317,43.1461,26.05,37,94,3.52,RU,1688772655
306,egilsstadir,65.2653,-14.3948,6.95,93,75,5.66,IS,1688772655
307,naberezhnyye chelny,55.7561,52.4289,18.49,60,66,2.09,RU,1688772655
308,miracema do tocantins,-9.5618,-48.3967,25.17,42,1,1.67,BR,1688772656
309,santa cruz de la sierra,-17.8,-63.1667,24.7,83,75,8.23,BO,1688772656
310,zemio,5.0314,25.1361,21.07,81,94,0.84,CF,1688772657
311,puerto francisco de orellana,-0.4667,-76.9667,23.58,91,73,0.73,EC,1688772657
312,panuco,22.05,-98.1667,31.1,60,97,5.65,MX,1688772657
313,owase,34.0667,136.2,27.96,82,75,4.33,JP,1688772394
314,revda,56.801,59.9303,13.6,80,84,1.83,RU,1688772658
315,howrah,22.5892,88.3103,28.0,89,75,2.06,IN,1688772658
316,hastings,50.8552,0.5729,21.85,26,0,5.57,GB,1688772658
317,manay,7.215,126.5397,28.1,71,69,0.54,PH,1688772659
318,kinik,39.0872,27.3833,21.99,79,1,2.5,TR,1688772659
319,curico,-34.9833,-71.2333,10.97,100,75,3.6,CL,1688772659
320,tabou,4.423,-7.3528,24.4,81,88,3.36,CI,1688772659
321,pisco,-13.7,-76.2167,21.03,64,100,7.2,PE,1688772660
322,san pedro pochutla,15.7333,-96.4667,28.17,71,67,3.06,MX,1688772660
323,nanao,37.05,136.9667,25.16,98,100,3.24,JP,1688772573
324,sirte,31.2089,16.5887,25.18,72,0,2.53,LY,1688772661
325,bailesti,44.0167,23.35,19.55,74,64,5.01,RO,1688772661
326,zhaobaoshan,29.9695,121.6875,32.01,79,91,0.88,CN,1688772662
327,enewetak,11.3474,162.3373,28.19,81,99,9.29,MH,1688772662
328,ketou,7.3633,2.5998,23.35,97,100,2.83,BJ,1688772663
329,aripuana,-9.1667,-60.6333,26.0,52,13,0.7,BR,1688772663
330,san juan pueblo,15.5833,-87.2333,30.31,88,74,1.57,HN,1688772663
331,lapua,62.9693,23.0088,14.08,98,33,1.87,FI,1688772664
332,ketchikan,55.3422,-131.6461,26.26,44,0,3.6,US,1688772664
333,nyurba,63.2842,118.3319,18.57,57,59,5.4,RU,1688772664
334,pak phanang,8.3511,100.202,27.01,86,100,4.05,TH,1688772665
335,saint-denis,48.9167,2.3333,24.88,56,0,3.6,FR,1688772665
336,kutulik,53.3508,102.7839,19.31,75,57,0.31,RU,1688772665
337,yasothon,15.75,104.1333,29.46,69,95,2.76,TH,1688772665
338,mahina,-17.5065,-149.489,28.87,70,20,8.75,PF,1688772666
339,port alfred,-33.5906,26.891,13.99,89,100,0.45,ZA,1688772666
340,argo,37.6333,22.7333,27.1,53,0,1.37,GR,1688772667
